PHP Warning:  Module "gmp" is already loaded in Unknown on line 0
  PHP Warning:  Module "gmp" is already loaded in Unknown on line 0

   INFO  Server running on [http://0.0.0.0:8888].  

  Press Ctrl+C to stop the server
  2025-02-17 10:26:58 /api/user .................................... ~ 0.12ms
  2025-02-17 10:28:38 /api/framework-install ....................... ~ 0.15ms
  2025-02-17 10:28:50 /api/install-framework ....................... ~ 0.12ms
  [Mon Feb 17 10:28:50 2025] PHP Deprecated:  Optional parameter $parentId declared before required parameter $frameworkId is implicitly treated as a required parameter in /home/pointlogservice-test/htdocs/BackEndKitTest/database/seeders/NCAECC_1_2018Seeder.php on line 5073
  2025-02-17 10:28:50 /api/install-framework ........................... ~ 1s
  2025-02-17 10:28:51 /api/framework-install ....................... ~ 0.04ms
  2025-02-17 10:29:35 /api/regulator ............................... ~ 0.13ms
  2025-02-17 10:29:35 /api/question ................................ ~ 0.35ms
  2025-02-17 10:29:35 /api/frameworks .............................. ~ 0.01ms
  2025-02-17 10:29:35 /api/control ............................... ~ 500.50ms
  2025-02-17 10:29:36 /api/user .................................... ~ 0.09ms
  2025-02-17 10:29:57 /api/user .................................... ~ 0.15ms
  2025-02-17 10:35:58 / ............................................ ~ 0.14ms
  2025-02-17 10:35:59 /_debugbar/assets/stylesheets .................... ~ 1s
  2025-02-17 10:35:59 /_debugbar/assets/javascript ..................... ~ 1s
  2025-02-17 10:36:02 /favicon.ico ................................. ~ 0.12ms
  2025-02-17 10:37:34 /api/question .............................. ~ 519.66ms
  2025-02-17 10:37:33 /api/regulator ............................. ~ 520.01ms
  2025-02-17 10:37:35 /api/frameworks ............................ ~ 501.91ms
  2025-02-17 10:37:36 /api/control ..................................... ~ 1s
  2025-02-17 10:37:38 /api/user .................................. ~ 500.34ms
  2025-02-17 10:42:20 /api/user-info ............................... ~ 0.58ms
  2025-02-17 10:42:20 /api/user-info ............................... ~ 0.03ms
  2025-02-17 10:42:20 /api/user-info ............................... ~ 0.02ms
  2025-02-17 10:42:20 /api/user-info ............................... ~ 0.10ms
  2025-02-17 10:42:22 /api/regulator ............................... ~ 0.10ms
  2025-02-17 10:42:22 /api/question ................................ ~ 0.33ms
  2025-02-17 10:42:22 /api/regulator ............................... ~ 0.10ms
  2025-02-17 10:42:22 /api/question ................................ ~ 0.34ms
  2025-02-17 10:42:22 /api/frameworks .............................. ~ 0.02ms
  2025-02-17 10:42:22 /api/frameworks .............................. ~ 0.09ms
  2025-02-17 10:42:23 /api/control ................................. ~ 0.02ms
  2025-02-17 10:42:23 /api/control ............................... ~ 500.40ms
  2025-02-17 10:42:24 /api/user .................................... ~ 0.12ms
  2025-02-17 10:42:24 /api/user .................................... ~ 0.02ms
  2025-02-17 10:42:45 /api/user .................................... ~ 0.09ms
  2025-02-17 10:42:46 /api/user .................................... ~ 0.12ms
  2025-02-17 10:42:46 /api/question .................................... ~ 9s
  2025-02-17 10:42:55 /api/question ................................ ~ 0.02ms
  2025-02-17 10:42:55 /api/question ................................ ~ 0.10ms
  2025-02-17 10:42:56 /api/question ................................ ~ 0.02ms
  2025-02-17 10:43:27 /api/question ................................ ~ 0.12ms
  2025-02-17 10:43:27 /api/question ................................ ~ 0.14ms
  2025-02-17 10:43:46 /api/user .................................... ~ 0.10ms
  2025-02-17 10:43:46 /api/user .................................... ~ 0.10ms
  2025-02-17 10:43:56 /api/user .................................... ~ 0.13ms
  2025-02-17 10:43:56 /api/user .................................... ~ 0.10ms
  2025-02-17 10:44:14 /api/question/67b312af8e90fb838b0769b1 ....... ~ 0.11ms
  2025-02-17 10:44:15 /api/question/67b312af8e90fb838b0769b1 ....... ~ 0.09ms
  2025-02-17 10:44:15 /api/question ................................ ~ 0.10ms
  2025-02-17 10:44:15 /api/question ................................ ~ 0.21ms
  2025-02-17 10:44:16 .............................................. ~ 1m 31s
  2025-02-17 10:45:54 /api/user-info ............................... ~ 0.13ms
  2025-02-17 10:45:54 /api/user-info ............................... ~ 0.10ms
  2025-02-17 10:45:54 /api/user-info ............................... ~ 0.06ms
  2025-02-17 10:45:54 /api/user-info ............................... ~ 0.02ms
  2025-02-17 10:45:55 /api/regulator ............................... ~ 0.10ms
  2025-02-17 10:45:55 /api/question ................................ ~ 0.44ms
  2025-02-17 10:45:56 /api/regulator ............................... ~ 0.05ms
  2025-02-17 10:45:56 /api/question ................................ ~ 0.33ms
  2025-02-17 10:45:56 /api/frameworks .............................. ~ 0.10ms
  2025-02-17 10:45:56 /api/frameworks .............................. ~ 0.02ms
  2025-02-17 10:45:56 /api/control ................................. ~ 0.05ms
  2025-02-17 10:45:57 /api/control ................................. ~ 0.08ms
  2025-02-17 10:45:57 /api/user .................................... ~ 0.13ms
  2025-02-17 10:45:58 /api/user .................................... ~ 0.12ms
  2025-02-17 10:45:59 /api/user-info ............................... ~ 0.09ms
  2025-02-17 10:45:59 /api/user-info ............................... ~ 0.13ms
  2025-02-17 10:46:14 /api/user-info ............................. ~ 500.68ms
  2025-02-17 10:46:14 /api/user-info ............................... ~ 0.03ms
  2025-02-17 10:46:15 /api/user-info ............................... ~ 0.50ms
  2025-02-17 10:46:15 /api/user-info ............................... ~ 0.11ms
  2025-02-17 10:46:19 /api/regulator ............................... ~ 0.10ms
  2025-02-17 10:46:19 /api/question ................................ ~ 0.02ms
  2025-02-17 10:46:19 /api/question .............................. ~ 500.50ms
  2025-02-17 10:46:19 /api/regulator ............................. ~ 500.81ms
  2025-02-17 10:46:21 /api/frameworks .............................. ~ 0.13ms
  2025-02-17 10:46:21 /api/frameworks .............................. ~ 0.03ms
  2025-02-17 10:46:21 /api/control ................................. ~ 0.13ms
  2025-02-17 10:46:21 /api/control .................................... ~ 10s
  2025-02-17 10:46:37 /api/user .................................... ~ 0.16ms
  2025-02-17 10:46:37 /api/user .................................... ~ 0.03ms
  2025-02-17 10:47:30 /api/user-info ............................... ~ 0.19ms
  2025-02-17 10:47:30 /api/user-info ............................... ~ 0.12ms
  2025-02-17 10:47:30 /api/user-info ............................... ~ 0.04ms
  2025-02-17 10:47:30 /api/user-info ............................... ~ 0.03ms
  2025-02-17 10:47:31 /api/regulator ............................... ~ 0.07ms
  2025-02-17 10:47:31 /api/question ................................ ~ 0.37ms
  2025-02-17 10:47:32 /api/question ................................ ~ 0.04ms
  2025-02-17 10:47:32 /api/regulator ............................. ~ 500.61ms
  2025-02-17 10:47:32 /api/frameworks .............................. ~ 0.02ms
  2025-02-17 10:47:32 /api/frameworks .............................. ~ 0.02ms
  2025-02-17 10:47:32 /api/control ................................. ~ 0.09ms
  2025-02-17 10:47:32 /api/control ............................... ~ 500.46ms
  2025-02-17 10:47:33 /api/user .................................... ~ 0.03ms
  2025-02-17 10:47:33 /api/user .................................... ~ 0.10ms
  2025-02-17 10:51:29 /api/user-info ............................... ~ 0.47ms
  2025-02-17 10:51:29 /api/user-info ............................... ~ 0.70ms
  2025-02-17 10:51:29 /api/user-info ............................... ~ 0.09ms
  2025-02-17 10:51:29 /api/user-info ............................... ~ 0.02ms
  2025-02-17 10:51:31 /api/question ................................ ~ 0.10ms
  2025-02-17 10:51:31 /api/regulator ............................... ~ 0.43ms
  2025-02-17 10:51:31 /api/regulator ............................... ~ 0.09ms
  2025-02-17 10:51:31 /api/question ................................ ~ 0.26ms
  2025-02-17 10:51:31 /api/frameworks .............................. ~ 0.01ms
  2025-02-17 10:51:31 /api/frameworks .............................. ~ 0.74ms
  2025-02-17 10:51:32 /api/control ................................. ~ 0.02ms
  2025-02-17 10:51:32 /api/control ..................................... ~ 2s
  2025-02-17 10:51:32 /api/user ........................................ ~ 3s
  2025-02-17 10:51:38 /api/user .................................... ~ 0.12ms
  2025-02-17 10:51:38 /api/user .................................. ~ 500.86ms
  2025-02-17 10:51:39 /api/user .................................... ~ 0.10ms
  2025-02-17 10:51:43 /api/question/67b312af8e90fb838b0769b1 ....... ~ 0.12ms
  2025-02-17 10:51:43 /api/question/67b312af8e90fb838b0769b1 ....... ~ 0.02ms
  2025-02-17 10:51:43 /api/question ................................ ~ 0.09ms
  2025-02-17 10:51:43 /api/question ................................ ~ 0.02ms
  2025-02-17 10:51:52 /api/question/67b312af8e90fb838b0769b1 ....... ~ 0.09ms
  2025-02-17 10:51:52 /api/question/67b312af8e90fb838b0769b1 ....... ~ 0.01ms
  2025-02-17 10:51:52 /api/question ................................ ~ 0.10ms
  2025-02-17 10:51:53 /api/question ................................ ~ 0.02ms
  2025-02-17 10:52:22 /api/user-info ............................... ~ 0.16ms
  2025-02-17 10:52:22 /api/user-info ............................... ~ 0.09ms
  2025-02-17 10:52:22 /api/user-info ............................... ~ 0.03ms
  2025-02-17 10:52:23 /api/user-info ............................... ~ 0.01ms
  2025-02-17 10:52:24 /api/regulator ............................... ~ 0.11ms
  2025-02-17 10:52:24 /api/question ................................ ~ 0.37ms
  2025-02-17 10:52:24 /api/regulator ............................... ~ 0.03ms
  2025-02-17 10:52:24 /api/question ................................ ~ 0.24ms
  2025-02-17 10:52:24 /api/frameworks .............................. ~ 0.09ms
  2025-02-17 10:52:24 /api/frameworks .............................. ~ 0.02ms
  2025-02-17 10:52:24 /api/control ................................. ~ 0.11ms
  2025-02-17 10:52:25 /api/control ............................... ~ 500.36ms
  2025-02-17 10:52:25 /api/user .................................... ~ 0.12ms
  2025-02-17 10:52:26 /api/user .................................... ~ 0.03ms
  2025-02-17 10:52:53 /api/user-info ............................... ~ 0.11ms
  2025-02-17 10:52:53 /api/user-info ............................... ~ 0.11ms
  2025-02-17 10:52:53 /api/user-info ............................... ~ 0.02ms
  2025-02-17 10:52:54 /api/user-info ............................... ~ 0.02ms
  2025-02-17 10:52:55 /api/regulator ............................... ~ 0.11ms
  2025-02-17 10:52:55 /api/question ................................ ~ 0.37ms
  2025-02-17 10:52:55 /api/regulator ............................... ~ 0.09ms
  2025-02-17 10:52:55 /api/question ................................ ~ 0.39ms
  2025-02-17 10:52:55 /api/frameworks .............................. ~ 0.02ms
  2025-02-17 10:52:55 /api/frameworks ............................ ~ 500.37ms
  2025-02-17 10:52:55 /api/control ................................. ~ 0.06ms
  2025-02-17 10:52:56 /api/control ............................... ~ 500.43ms
  2025-02-17 10:52:56 /api/user .................................... ~ 0.09ms
  2025-02-17 10:52:56 /api/user .................................... ~ 0.02ms
  2025-02-17 10:53:43 /api/user-info ............................... ~ 0.11ms
  2025-02-17 10:53:44 /api/user-info ............................... ~ 0.02ms
  2025-02-17 10:53:44 /api/user-info ............................... ~ 0.01ms
  2025-02-17 10:53:44 /api/user-info ............................... ~ 0.11ms
  2025-02-17 10:53:45 /api/regulator ............................... ~ 0.14ms
  2025-02-17 10:53:45 /api/question ................................ ~ 0.38ms
  2025-02-17 10:53:45 /api/regulator ............................... ~ 0.02ms
  2025-02-17 10:53:45 /api/question ................................ ~ 0.24ms
  2025-02-17 10:53:45 /api/frameworks .............................. ~ 0.09ms
  2025-02-17 10:53:46 /api/frameworks .............................. ~ 0.02ms
  2025-02-17 10:53:46 /api/control ................................. ~ 0.02ms
  2025-02-17 10:53:46 /api/control ................................. ~ 0.12ms
  2025-02-17 10:53:47 /api/user .................................... ~ 0.09ms
  2025-02-17 10:53:47 /api/user .................................... ~ 0.10ms
  2025-02-17 10:54:02 /api/user-info ............................... ~ 0.10ms
  2025-02-17 10:54:02 /api/user-info ............................. ~ 500.44ms
  2025-02-17 10:54:02 /api/user-info ............................... ~ 0.03ms
  2025-02-17 10:54:02 /api/user-info ............................... ~ 0.03ms
  2025-02-17 10:54:03 /api/regulator ............................... ~ 0.13ms
  2025-02-17 10:54:03 /api/question ................................ ~ 0.02ms
  2025-02-17 10:54:03 /api/regulator ............................... ~ 0.03ms
  2025-02-17 10:54:04 /api/question ................................ ~ 0.11ms
  2025-02-17 10:54:04 /api/frameworks .............................. ~ 0.13ms
  2025-02-17 10:54:05 /api/frameworks .............................. ~ 0.03ms
  2025-02-17 10:54:05 /api/control ................................. ~ 0.02ms
  2025-02-17 10:54:05 /api/control ................................. ~ 0.10ms
  2025-02-17 10:54:06 /api/user .................................... ~ 0.15ms
  2025-02-17 10:54:06 /api/user .................................... ~ 0.03ms
  2025-02-17 10:54:48 /api/user-info ............................... ~ 0.12ms
  2025-02-17 10:54:48 /api/user-info ............................... ~ 0.02ms
  2025-02-17 10:54:48 /api/user-info ............................... ~ 0.10ms
  2025-02-17 10:54:49 /api/user-info ............................... ~ 0.03ms
  2025-02-17 10:54:50 /api/regulator ............................... ~ 0.09ms
  2025-02-17 10:54:50 /api/question ................................ ~ 0.26ms
  2025-02-17 10:54:50 /api/regulator ............................... ~ 0.02ms
  2025-02-17 10:54:50 /api/question ................................ ~ 0.14ms
  2025-02-17 10:54:50 /api/frameworks .............................. ~ 0.09ms
  2025-02-17 10:54:50 /api/frameworks .............................. ~ 0.02ms
  2025-02-17 10:54:50 /api/control ............................... ~ 500.33ms
  2025-02-17 10:54:51 /api/control ................................. ~ 0.02ms
  2025-02-17 10:54:51 /api/user .................................... ~ 0.11ms
  2025-02-17 10:54:51 /api/user .................................... ~ 0.08ms
  2025-02-17 10:55:07 /api/user-info ............................... ~ 0.09ms
  2025-02-17 10:55:07 /api/user-info ............................... ~ 0.11ms
  2025-02-17 10:55:07 /api/user-info ............................... ~ 0.02ms
  2025-02-17 10:55:07 /api/user-info ............................... ~ 0.02ms
  2025-02-17 10:55:08 /api/question ................................ ~ 0.11ms
  2025-02-17 10:55:08 /api/regulator ............................... ~ 0.43ms
  2025-02-17 10:55:08 /api/question ................................ ~ 0.03ms
  2025-02-17 10:55:08 /api/regulator ............................... ~ 0.28ms
  2025-02-17 10:55:08 /api/frameworks .............................. ~ 0.09ms
  2025-02-17 10:55:09 /api/frameworks .............................. ~ 0.02ms
  2025-02-17 10:55:09 /api/control ................................. ~ 0.08ms
  2025-02-17 10:55:09 /api/control ................................. ~ 0.02ms
  2025-02-17 10:55:10 /api/user .................................... ~ 0.12ms
  2025-02-17 10:55:10 /api/user .................................. ~ 500.33ms
  2025-02-17 10:55:23 /api/user-info ............................... ~ 0.09ms
  2025-02-17 10:55:23 /api/user-info ............................... ~ 0.08ms
  2025-02-17 10:55:23 /api/user-info ............................... ~ 0.05ms
  2025-02-17 10:55:23 /api/user-info ............................... ~ 0.10ms
  2025-02-17 10:55:24 /api/question ................................ ~ 0.11ms
  2025-02-17 10:55:24 /api/regulator ............................... ~ 0.46ms
  2025-02-17 10:55:24 /api/regulator ............................... ~ 0.13ms
  2025-02-17 10:55:24 /api/question ................................ ~ 0.43ms
  2025-02-17 10:55:25 /api/frameworks .............................. ~ 0.03ms
  2025-02-17 10:55:25 /api/frameworks .............................. ~ 0.02ms
  2025-02-17 10:55:25 /api/control ................................. ~ 0.11ms
  2025-02-17 10:55:25 /api/control ............................... ~ 500.40ms
  2025-02-17 10:55:26 /api/user .................................... ~ 0.12ms
  2025-02-17 10:55:26 /api/user .................................... ~ 0.02ms
  2025-02-17 10:55:36 /api/user-info ............................... ~ 0.09ms
  2025-02-17 10:55:36 /api/user-info ............................. ~ 500.37ms
  2025-02-17 10:55:36 /api/user-info ............................... ~ 0.05ms
  2025-02-17 10:55:36 /api/user-info ............................... ~ 0.02ms
  2025-02-17 10:55:37 /api/question ................................ ~ 0.12ms
  2025-02-17 10:55:37 /api/regulator ............................... ~ 0.39ms
  2025-02-17 10:55:37 /api/regulator ............................... ~ 0.02ms
  2025-02-17 10:55:37 /api/question ................................ ~ 0.02ms
  2025-02-17 10:55:37 /api/frameworks .............................. ~ 0.08ms
  2025-02-17 10:55:38 /api/frameworks .............................. ~ 0.01ms
  2025-02-17 10:55:38 /api/control ................................. ~ 0.01ms
  2025-02-17 10:55:38 /api/control ................................. ~ 0.12ms
  2025-02-17 10:55:39 /api/user .................................... ~ 0.14ms
  2025-02-17 10:55:39 /api/user .................................... ~ 0.05ms
  2025-02-17 10:55:44 /api/user-info ............................... ~ 0.10ms
  2025-02-17 10:55:45 /api/user-info ............................... ~ 0.08ms
  2025-02-17 10:55:45 /api/user-info ............................... ~ 0.04ms
  2025-02-17 10:55:45 /api/user-info ............................... ~ 0.02ms
  2025-02-17 10:55:46 /api/question ................................ ~ 0.09ms
  2025-02-17 10:55:46 /api/regulator ............................... ~ 0.39ms
  2025-02-17 10:55:46 /api/regulator ............................... ~ 0.04ms
  2025-02-17 10:55:46 /api/question ................................ ~ 0.24ms
  2025-02-17 10:55:46 /api/frameworks .............................. ~ 0.02ms
  2025-02-17 10:55:46 /api/frameworks .............................. ~ 0.11ms
  2025-02-17 10:55:46 /api/control ................................. ~ 0.02ms
  2025-02-17 10:55:46 /api/control ................................. ~ 0.11ms
  2025-02-17 10:55:47 /api/user .................................... ~ 0.08ms
  2025-02-17 10:55:47 /api/user .................................... ~ 0.11ms
  2025-02-17 10:56:23 /api/user-info ............................... ~ 0.08ms
